name,year,month,retail_and_recreation_percent_change_from_baseline
Cameroon,2020,3,-15.487179487179487
Cameroon,2020,4,-28.315960912052116
Cameroon,2020,5,-15.698360655737705
Cameroon,2020,6,-6.737024221453288
Cameroon,2020,7,-3.328813559322034
Cameroon,2020,8,2.099502487562189
Cameroon,2020,9,1.4174311926605505
Cameroon,2020,10,-1.2464285714285714
Cameroon,2020,11,-1.927007299270073
Cameroon,2020,12,2.1035714285714286
Cameroon,2021,1,-6.671140939597316
Cameroon,2021,2,-8.865248226950355
Cameroon,2021,3,-7.004504504504505
Canada,2020,2,2.4243528982865477
Canada,2020,3,-20.00732064421669
Canada,2020,4,-47.53364449630494
Canada,2020,5,-26.05097134064243
Canada,2020,6,-6.912815338042382
Canada,2020,7,2.915674222051479
Canada,2020,8,2.556322473771397
Canada,2020,9,-1.8441905687894993
Canada,2020,10,-8.417874839420078
Canada,2020,11,-12.32988901645618
Canada,2020,12,-18.42902861445783
Canada,2021,1,-37.31708673091179
Canada,2021,2,-27.65444055223573
Canada,2021,3,-14.08510101010101
Chile,2020,2,4.6
Chile,2020,3,-29.91762356465302
Chile,2020,4,-60.38788522848034
Chile,2020,5,-56.686858316221766
Chile,2020,6,-57.79967948717949
Chile,2020,7,-56.835651725914474
Chile,2020,8,-49.39112426035503
Chile,2020,9,-50.32066781807715
Chile,2020,10,-47.234668018246325
Chile,2020,11,-41.5993756503642
Chile,2020,12,-32.88994974874372
Chile,2021,1,-41.453953953953956
Chile,2021,2,-34.368101545253865
Chile,2021,3,-37.498305084745766
Colombia,2020,2,-6.085158150851582
Colombia,2020,3,-33.49294030220461
Colombia,2020,4,-76.68857062622858
Colombia,2020,5,-64.79300443748369
Colombia,2020,6,-52.10099685204617
Colombia,2020,7,-49.48022312373225
Colombia,2020,8,-52.66586538461539
Colombia,2020,9,-37.014311270125226
Colombia,2020,10,-32.72093023255814
Colombia,2020,11,-27.32864419112297
Colombia,2020,12,-18.29776615969582
Colombia,2021,1,-34.7991081905656
Colombia,2021,2,-25.904194717762817
Colombia,2021,3,-21.489429852658553
Costa Rica,2020,2,-2.3333333333333335
Costa Rica,2020,3,-28.032258064516128
Costa Rica,2020,4,-58.86666666666667
Costa Rica,2020,5,-44.0
Costa Rica,2020,6,-40.93333333333333
Costa Rica,2020,7,-54.25806451612903
Costa Rica,2020,8,-43.70967741935484
Costa Rica,2020,9,-41.46666666666667
Costa Rica,2020,10,-39.41935483870968
Costa Rica,2020,11,-32.4
Costa Rica,2020,12,-21.225806451612904
Costa Rica,2021,1,-32.87096774193548
Costa Rica,2021,2,-26.928571428571427
Costa Rica,2021,3,-25.130434782608695
Croatia,2020,2,5.590909090909091
Croatia,2020,3,-31.818181818181817
Croatia,2020,4,-62.956239870340355
Croatia,2020,5,-22.403374233128833
Croatia,2020,6,7.8584905660377355
Croatia,2020,7,23.502304147465438
Croatia,2020,8,30.79850746268657
Croatia,2020,9,5.292631578947368
Croatia,2020,10,-6.1063515509601185
Croatia,2020,11,-18.587786259541986
Croatia,2020,12,-43.758620689655174
Croatia,2021,1,-47.23388305847077
Croatia,2021,2,-37.402317880794705
Croatia,2021,3,-20.106
Denmark,2020,2,0.6803135888501742
Denmark,2020,3,-14.908906882591094
Denmark,2020,4,-22.53038046564452
Denmark,2020,5,-14.101674641148325
Denmark,2020,6,8.86267029972752
Denmark,2020,7,20.78284854563691
Denmark,2020,8,16.305254378648876
Denmark,2020,9,6.8439119170984455
Denmark,2020,10,8.879256965944272
Denmark,2020,11,2.794788273615635
Denmark,2020,12,-11.522784176264397
Denmark,2021,1,-41.66205428419372
Denmark,2021,2,-33.124361158432706
Denmark,2021,3,-12.21957671957672
Dominican Republic,2020,2,-2.4174757281553396
Dominican Republic,2020,3,-32.954268292682926
Dominican Republic,2020,4,-66.30828220858896
